Table 28-1
Erection Bridging for Short Span Joists
JOIST	SPAN	JOIST	SPAN
8K1	NM	22K6	36-0
10K1	NM	22K7	40-0
12K1	23-0	22K9	40-0
12K3	NM	22K10	NM
12K5	NM	22K11	NM
14K1	27-0	24K4	36-0
14K3	NM	24K5	38-0
14K4	NM	24K6	39-0
14K6	NM	24K7	43-0
16K2	29-0	24K8	43-0
16K3	30-0	24K9	44-0
16K4	32-0	24K10	NM
16K5	32-0	24K12	NM
16K6	NM	26K5	38-0
16K7	NM	26K6	39-0
16K9	NM	26K7	43-0
18K3	31-0	26K8	44-0
18K4	32-0	26K9	44-0
18K5	33-0	26K10	49-0
18K6	28-0	26K12	NM
18K7	NM	28K6	40-0
18K9	NM	28K7	43-0
18K10	NM	28K8	44-0
20K3	32-0	28K9	45-0
20K4	34-0	28K10	49-0
20K5	34-0	28K12	53-0
20K6	36-0	30K7	44-0
20K7	39-0	30K8	45-0
20K9	39-0	30K9	45-0
20K10	NM	30K10	50-0
22K4	34-0	30K11	52-0
22K5	28-0	30K12	54-0
10KCS1	NM	22KCS2	36-0
10KCS2	NM	22KCS3	40-0
10KCS3	NM	22KCS4	NM
12KCS1	NM	22KCS5	NM
12KCS2	NM	24KCS2	39-0
12KCS3	NM	24KCS3	44-0
14KCS1	NM	24KCS4	NM
14KCS2	NM	24KCS5	NM
14KCS3	NM	26KCS2	39-0
16KCS2	NM	26KCS3	44-0
16KCS3	NM	26KCS4	NM
16KCS4	NM	26KCS5	NM
16KCS5	NM	28KCS2	40-0
18KCS2	28-0	28KCS3	45-0
18KCS3	NM	28KCS4	53-0
18KCS4	NM	28KCS5	53-0
18KCS5	NM	30KCS3	45-0
20KCS2	36-0	30KCS4	54-0
20KCS3	39-0	30KCS5	54-0
20KCS4	NM		
20KCS5	NM		
NM = Diagonal bolted bridging not mandatory for joists under 40 feet (12.1 m)			
